"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,97,2,1,98,95,4,1,97,92,7,1,96,90,9,1,96,,1165,295,25,07/01/2023,06/30/2024
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,96,3,1,98,92,6,2,95,89,8,3,95,88,11,1,95,,1226,327,27,07/01/2023,06/30/2024
01C0001046,SHELBY BAPTIST AMBULATORY SURGERY CENTER LLC,1010 1ST ST N,ALABASTER,AL,35007,,(205) 620-8400,,,,,,,,,,,,,,,,,4,,,,,
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,96,4,0,98,91,8,1,95,89,10,1,95,82,17,1,93,,1365,298,22,07/01/2023,06/30/2024
01C0001053,JACKSON SURGERY CENTER LLC,1725 PARK PL,MONTGOMERY,AL,36106,,(334) 293-3920,97,3,0,98,92,6,2,95,88,10,2,95,87,12,1,95,,782,191,24,07/01/2023,06/30/2024
01C0001062,SURGICAL CLINIC SOLUTIONS LLC DBA SURGICAL INSTITUTE OF ALABAMA,1021 MONTGOMERY HIGHWAY SUITE 100,VESTAVIA HILLS,AL,35216,,(205) 421-4803,,,,,,,,,,,,,,,,,4,,,,,
01C0001065,EAST ALABAMA AMBULATORY SURGERY CENTER,900 CAMP AUBURN ROAD SUITE 200,AUBURN,AL,36832,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,98,2,0,99,90,8,2,94,89,8,3,95,90,9,1,96,,632,150,24,07/01/2023,06/30/2024
03C0001043,PRESCOTT OUTPATIENT SURGICAL CENTER,815 AINSWORTH DR.,PRESCOTT,AZ,86301,,(928) 443-6566,,,,,,,,,,,,,,,,,4,,,,,
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98,2,0,99,94,5,1,97,94,5,1,97,91,8,1,96,,1092,295,27,07/01/2023,06/30/2024
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97,3,0,98,92,6,2,95,92,7,1,96,86,11,3,94,,1075,223,21,07/01/2023,06/30/2024
03C0001071,NORTHERN ARIZONA HEALTHCARE ORTHOPEDIC SURGERY CENTER LLC,2100 NORTH BEAVER ST,FLAGSTAFF,AZ,86001,,(928) 214-3709,,,,,,,,,,,,,,,,,4,,,,,
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,98,2,0,99,91,7,2,95,90,8,2,95,86,12,2,94,,1386,419,30,07/01/2023,06/30/2024
03C0001249,SCOTTSDALE ENDOSCOPY ASC LLC DBA SCOTTSDALE ENDOSCOPY CENTER,9787 NORTH 91ST STREET SUITE 103,SCOTTSDALE,AZ,85258,,(480) 657-0889,97,3,0,98,92,6,2,95,89,10,1,95,88,11,1,95,,1250,318,25,07/01/2023,06/30/2024
03C0001259,TUCSON DIGESTIVE INSTITUTE LLC DBA ARIZONA DIGESTIVE INSTITUTE,7566 NORTH LA CHOLLA BLVD SUITE B,TUCSON,AZ,85741,,(520) 547-5847,95,4,1,97,89,8,3,93,81,16,3,93,78,20,2,92,,1288,392,30,07/01/2023,06/30/2024
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,95,4,1,97,89,9,2,94,84,13,3,93,77,18,5,90,,992,182,18,07/01/2023,06/30/2024
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,98,2,0,99,93,5,2,96,90,8,2,95,88,10,2,95,,1081,259,24,07/01/2023,06/30/2024
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,97,3,0,98,92,7,1,95,89,9,2,95,86,12,2,95,,979,279,29,07/01/2023,06/30/2024
